Date,BTC,ETH,DOT,CRV,GALA,USDC
2021-01-01,29374.152344,730.367554,8.306819,0.622334,0.001028,0.999823
2021-01-02,32127.267578,774.534973,9.208837,0.614176,0.001129,1.000162
2021-01-03,32782.023438,975.507690,10.033283,0.672281,0.001100,0.999736
2021-01-04,31971.914062,1040.233032,9.469611,0.676984,0.001400,0.999372
2021-01-05,33992.429688,1100.006104,9.701656,0.687015,0.001457,0.999749
2021-01-06,36824.363281,1207.112183,10.096068,0.729665,0.001314,0.999681
2021-01-07,39371.042969,1225.678101,9.644585,0.719132,0.001239,0.997912
2021-01-08,40797.609375,1224.197144,9.307135,0.694862,0.001312,0.999684
2021-01-09,40254.546875,1281.077271,9.777765,0.764276,0.001481,0.999777
2021-01-10,38356.441406,1262.246704,9.305048,0.752120,0.001311,1.000090
2021-01-11,35566.656250,1090.145386,8.276440,0.621955,0.001060,0.999951
2021-01-12,33922.960938,1043.434570,8.264148,0.622774,0.001093,1.000598
2021-01-13,37316.359375,1130.739380,10.957710,0.685529,0.001121,0.999811
2021-01-14,39187.328125,1218.453003,14.539050,0.783182,0.001169,1.000115
2021-01-15,36825.367188,1171.834595,13.212381,1.152388,0.001203,1.000085
2021-01-16,36178.140625,1233.537598,18.180424,1.108146,0.001192,1.000134
2021-01-17,35791.277344,1230.172241,16.984255,1.686598,0.001163,1.000455
2021-01-18,36630.074219,1257.279541,16.512926,1.599603,0.001132,1.000566
2021-01-19,36069.804688,1377.295898,16.468510,1.336781,0.001135,1.000041
2021-01-20,35547.750000,1382.274048,17.948931,1.627512,0.001160,0.999977
2021-01-21,30825.699219,1121.570923,15.944838,1.682057,0.001195,1.000419
2021-01-22,33005.761719,1236.512207,17.161442,1.970255,0.001248,1.000275
2021-01-23,32067.642578,1230.990601,18.598200,2.142003,0.001179,1.000006
2021-01-24,32289.378906,1391.609375,17.999649,2.269797,0.001416,1.000162
2021-01-25,32366.392578,1324.414795,17.250456,2.012478,0.001369,1.000044
2021-01-26,32569.849609,1357.058105,17.117762,2.141343,0.001555,1.000070
2021-01-27,30432.546875,1253.187134,15.504861,1.816730,0.001366,1.000018
2021-01-28,33466.097656,1332.492188,16.944933,2.067703,0.001622,0.999578
2021-01-29,34316.386719,1382.522827,16.841612,2.047548,0.003585,0.999971
2021-01-30,34269.523438,1376.115479,16.506908,2.535429,0.003152,1.000026
2021-01-31,33114.359375,1314.986206,16.121315,2.524605,0.003073,0.999961
2021-02-01,33537.175781,1369.040527,16.375776,2.528694,0.002996,0.999946
2021-02-02,35510.289062,1515.193726,17.263256,2.508726,0.004313,1.000421
2021-02-03,37472.089844,1660.909546,20.733652,2.628686,0.006888,0.999751
2021-02-04,36926.066406,1594.762695,19.702183,3.022052,0.006435,0.999741
2021-02-05,38144.308594,1718.650879,20.902676,3.269693,0.007176,0.999945
2021-02-06,39266.011719,1677.846802,20.395479,3.145218,0.009079,0.999997
2021-02-07,38903.441406,1614.227783,19.793615,2.993506,0.011662,0.999886
2021-02-08,46196.464844,1746.616821,23.031898,3.073446,0.017486,0.999797
2021-02-09,46481.105469,1768.035034,23.129965,3.189877,0.015957,1.000040
2021-02-10,44918.183594,1744.243408,23.585051,3.094055,0.014954,1.000017
2021-02-11,47909.332031,1783.797974,25.230295,3.551772,0.013575,0.999844
2021-02-12,47504.851562,1843.532593,28.691257,3.394748,0.013084,0.999824
2021-02-13,47105.515625,1814.109863,28.016726,3.295216,0.013859,0.999861
2021-02-14,48717.289062,1805.084106,27.095736,2.983827,0.014197,1.000025
2021-02-15,47945.058594,1779.791016,27.780893,2.725054,0.013671,1.000039
2021-02-16,49199.871094,1781.067505,30.159910,2.671140,0.015820,1.000114
2021-02-17,52149.007812,1848.458252,31.986658,2.785888,0.016428,0.999841
2021-02-18,51679.796875,1937.449219,31.180639,2.805987,0.018132,1.000046
2021-02-19,55888.132812,1960.164795,34.792217,2.629528,0.017604,1.000051
2021-02-20,56099.519531,1919.534058,39.242176,2.912988,0.017754,0.999852
2021-02-21,57539.945312,1935.601074,39.696228,2.905568,0.016994,0.999945
2021-02-22,54207.320312,1781.992920,37.689480,2.580514,0.016110,1.000074
