pair,token0_change_pct,token1_change_pct,uniswap_return_pct,uniswap_final_value,strategy_name,token0_long_pct,token1_long_pct,pennysia_return_pct,pennysia_final_value,advantage_vs_uniswap
BTC/CRV,215.39024463870834,49.4425838365403,188.94008535732607,144470.04267866304,100% Long Token0 + 100% Short Token1,100,0,459.9999381874709,279999.96909373545,271.0598528301448
BTC/CRV,215.39024463870834,49.4425838365403,188.94008535732607,144470.04267866304,75% Long Token0 + 25% Long Token1,75,25,353.2545068947476,226627.2534473738,164.3144215374215
BTC/CRV,215.39024463870834,49.4425838365403,188.94008535732607,144470.04267866304,50% Long Token0 + 50% Long Token1 (Balanced),50,50,246.5090756020243,173254.53780101213,57.56899024469823
BTC/CRV,215.39024463870834,49.4425838365403,188.94008535732607,144470.04267866304,25% Long Token0 + 75% Long Token1,25,75,139.76364430930096,119881.8221546505,-49.17644104802511
BTC/CRV,215.39024463870834,49.4425838365403,188.94008535732607,144470.04267866304,100% Short Token0 + 100% Long Token1,0,100,33.01821301657766,66509.10650828882,-155.9218723407484
BTC/DOT,215.39024463870834,-19.383482671324426,242.25841840683225,171129.20920341613,100% Long Token0 + 100% Short Token1,100,0,470.3441866672899,285172.0933336449,228.08576826045763
BTC/DOT,215.39024463870834,-19.383482671324426,242.25841840683225,171129.20920341613,75% Long Token0 + 25% Long Token1,75,25,340.23048557034485,220115.24278517242,97.9720671635126
BTC/DOT,215.39024463870834,-19.383482671324426,242.25841840683225,171129.20920341613,50% Long Token0 + 50% Long Token1 (Balanced),50,50,210.1167844733998,155058.3922366999,-32.141633933432445
BTC/DOT,215.39024463870834,-19.383482671324426,242.25841840683225,171129.20920341613,25% Long Token0 + 75% Long Token1,25,75,80.00308337645482,90001.54168822741,-162.2553350303774
BTC/DOT,215.39024463870834,-19.383482671324426,242.25841840683225,171129.20920341613,100% Short Token0 + 100% Long Token1,0,100,-50.11061772049017,24944.691139754912,-292.36903612732243
BTC/ETH,215.39024463870834,359.54842340290793,320.2394999979674,210119.74999898372,100% Long Token0 + 100% Short Token1,100,0,445.2002048397829,272600.10241989145,124.96070484181547
BTC/ETH,215.39024463870834,359.54842340290793,320.2394999979674,210119.74999898372,75% Long Token0 + 25% Long Token1,75,25,590.0225205937003,345011.2602968501,269.78302059573286
BTC/ETH,215.39024463870834,359.54842340290793,320.2394999979674,210119.74999898372,50% Long Token0 + 50% Long Token1 (Balanced),50,50,734.8448363476175,417422.4181738087,414.6053363496501
BTC/ETH,215.39024463870834,359.54842340290793,320.2394999979674,210119.74999898372,25% Long Token0 + 75% Long Token1,25,75,879.6671521015346,489833.5760507673,559.4276521035672
BTC/ETH,215.39024463870834,359.54842340290793,320.2394999979674,210119.74999898372,100% Short Token0 + 100% Long Token1,0,100,1024.4894678554522,562244.733927726,704.2499678574848
BTC/GALA,215.39024463870834,3253.8910857687597,5582.377863784716,2841188.931892358,100% Long Token0 + 100% Short Token1,100,0,589.9173379580756,344958.6689790378,-4992.460525826641
BTC/GALA,215.39024463870834,3253.8910857687597,5582.377863784716,2841188.931892358,75% Long Token0 + 25% Long Token1,75,25,15185.148738975426,7642574.369487712,9602.770875190708
BTC/GALA,215.39024463870834,3253.8910857687597,5582.377863784716,2841188.931892358,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29780.380139992776,14940190.069996387,24198.00227620806
BTC/GALA,215.39024463870834,3253.8910857687597,5582.377863784716,2841188.931892358,25% Long Token0 + 75% Long Token1,25,75,44375.61154101013,22237805.770505063,38793.23367722541
BTC/GALA,215.39024463870834,3253.8910857687597,5582.377863784716,2841188.931892358,100% Short Token0 + 100% Long Token1,0,100,58970.84294202747,29535421.471013736,53388.465078242756
BTC/LINK,215.39024463870834,73.3702104443664,185.27276719687845,142636.38359843922,100% Long Token0 + 100% Short Token1,100,0,445.3068447663845,272653.4223831922,260.03407756950605
BTC/LINK,215.39024463870834,73.3702104443664,185.27276719687845,142636.38359843922,75% Long Token0 + 25% Long Token1,75,25,352.37262583652233,226186.31291826116,167.09985863964388
BTC/LINK,215.39024463870834,73.3702104443664,185.27276719687845,142636.38359843922,50% Long Token0 + 50% Long Token1 (Balanced),50,50,259.4384069066602,179719.2034533301,74.16563970978174
BTC/LINK,215.39024463870834,73.3702104443664,185.27276719687845,142636.38359843922,25% Long Token0 + 75% Long Token1,25,75,166.50418797679802,133252.09398839902,-18.768579220080426
BTC/LINK,215.39024463870834,73.3702104443664,185.27276719687845,142636.38359843922,100% Short Token0 + 100% Long Token1,0,100,73.56996904693591,86784.98452346795,-111.70279814994254
BTC/USDC,215.39024463870834,0.005502482794161878,217.44948703282972,158724.74351641486,100% Long Token0 + 100% Short Token1,100,0,472.22278351825094,286111.39175912546,254.7732964854212
BTC/USDC,215.39024463870834,0.005502482794161878,217.44948703282972,158724.74351641486,75% Long Token0 + 25% Long Token1,75,25,346.2359101381445,223117.95506907225,128.78642310531478
BTC/USDC,215.39024463870834,0.005502482794161878,217.44948703282972,158724.74351641486,50% Long Token0 + 50% Long Token1 (Balanced),50,50,220.24903675803805,160124.51837901902,2.7995497252083226
BTC/USDC,215.39024463870834,0.005502482794161878,217.44948703282972,158724.74351641486,25% Long Token0 + 75% Long Token1,25,75,94.26216337793166,97131.08168896583,-123.18732365489807
BTC/USDC,215.39024463870834,0.005502482794161878,217.44948703282972,158724.74351641486,100% Short Token0 + 100% Long Token1,0,100,-31.724710002174806,34137.6449989126,-249.17419703500454
BTC/USDT,215.39024463870834,-0.3835719642423019,217.8431561282104,158921.5780641052,100% Long Token0 + 100% Short Token1,100,0,472.2220480323788,286111.0240161894,254.37889190416837
BTC/USDT,215.39024463870834,-0.3835719642423019,217.8431561282104,158921.5780641052,75% Long Token0 + 25% Long Token1,75,25,346.13341954643477,223066.7097732174,128.29026341822436
BTC/USDT,215.39024463870834,-0.3835719642423019,217.8431561282104,158921.5780641052,50% Long Token0 + 50% Long Token1 (Balanced),50,50,220.0447910604907,160022.39553024535,2.2016349322802853
BTC/USDT,215.39024463870834,-0.3835719642423019,217.8431561282104,158921.5780641052,25% Long Token0 + 75% Long Token1,25,75,93.95616257454674,96978.08128727337,-123.88699355366367
BTC/USDT,215.39024463870834,-0.3835719642423019,217.8431561282104,158921.5780641052,100% Short Token0 + 100% Long Token1,0,100,-32.132465911397304,33933.76704430135,-249.9756220396077
CRV/DOT,49.4425838365403,-19.383482671324426,35.28026208384303,67640.13104192152,100% Long Token0 + 100% Short Token1,100,0,65.37010378229455,82685.05189114728,30.089841698451522
CRV/DOT,49.4425838365403,-19.383482671324426,35.28026208384303,67640.13104192152,75% Long Token0 + 25% Long Token1,75,25,42.00183397807289,71000.91698903644,6.721571894229861
CRV/DOT,49.4425838365403,-19.383482671324426,35.28026208384303,67640.13104192152,50% Long Token0 + 50% Long Token1 (Balanced),50,50,18.63356417385118,59316.782086925596,-16.646697909991847
CRV/DOT,49.4425838365403,-19.383482671324426,35.28026208384303,67640.13104192152,25% Long Token0 + 75% Long Token1,25,75,-4.734705630370506,47632.64718481475,-40.01496771421353
CRV/DOT,49.4425838365403,-19.383482671324426,35.28026208384303,67640.13104192152,100% Short Token0 + 100% Long Token1,0,100,-28.10297543459217,35948.512282703916,-63.383237518435195
CRV/ETH,49.4425838365403,359.54842340290793,358.90677402695894,229453.38701347949,100% Long Token0 + 100% Short Token1,100,0,40.22612195478763,70113.06097739382,-318.6806520721713
CRV/ETH,49.4425838365403,359.54842340290793,358.90677402695894,229453.38701347949,75% Long Token0 + 25% Long Token1,75,25,291.7938690014282,195896.9345007141,-67.11290502553072
CRV/ETH,49.4425838365403,359.54842340290793,358.90677402695894,229453.38701347949,50% Long Token0 + 50% Long Token1 (Balanced),50,50,543.3616160480688,321680.80802403437,184.4548420211098
CRV/ETH,49.4425838365403,359.54842340290793,358.90677402695894,229453.38701347949,25% Long Token0 + 75% Long Token1,25,75,794.9293630947093,447464.6815473547,436.02258906775035
CRV/ETH,49.4425838365403,359.54842340290793,358.90677402695894,229453.38701347949,100% Short Token0 + 100% Long Token1,0,100,1046.49711014135,573248.555070675,687.5903361143911
CRV/GALA,49.4425838365403,3253.8910857687597,8098.886549113566,4099443.274556783,100% Long Token0 + 100% Short Token1,100,0,184.94325507308025,142471.62753654012,-7913.943294040486
CRV/GALA,49.4425838365403,3253.8910857687597,8098.886549113566,4099443.274556783,75% Long Token0 + 25% Long Token1,75,25,14886.920087383152,7493460.043691576,6788.033538269587
CRV/GALA,49.4425838365403,3253.8910857687597,8098.886549113566,4099443.274556783,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29588.896919693223,14844448.459846612,21490.010370579657
CRV/GALA,49.4425838365403,3253.8910857687597,8098.886549113566,4099443.274556783,25% Long Token0 + 75% Long Token1,25,75,44290.873752003296,22195436.87600165,36191.98720288973
CRV/GALA,49.4425838365403,3253.8910857687597,8098.886549113566,4099443.274556783,100% Short Token0 + 100% Long Token1,0,100,58992.850584313375,29546425.292156685,50893.96403519981
CRV/LINK,49.4425838365403,73.3702104443664,67.62308244933706,83811.54122466853,100% Long Token0 + 100% Short Token1,100,0,40.33276188138919,70166.3809406946,-27.290320567947873
CRV/LINK,49.4425838365403,73.3702104443664,67.62308244933706,83811.54122466853,75% Long Token0 + 25% Long Token1,75,25,54.14397424425037,77071.98712212518,-13.479108205086689
CRV/LINK,49.4425838365403,73.3702104443664,67.62308244933706,83811.54122466853,50% Long Token0 + 50% Long Token1 (Balanced),50,50,67.95518660711153,83977.59330355577,0.33210415777446656
CRV/LINK,49.4425838365403,73.3702104443664,67.62308244933706,83811.54122466853,25% Long Token0 + 75% Long Token1,25,75,81.76639896997271,90883.19948498635,14.14331652063565
CRV/LINK,49.4425838365403,73.3702104443664,67.62308244933706,83811.54122466853,100% Short Token0 + 100% Long Token1,0,100,95.5776113328339,97788.80566641694,27.954528883496835
CRV/USDC,49.4425838365403,0.005502482794161878,36.213463050529214,68106.73152526461,100% Long Token0 + 100% Short Token1,100,0,67.24870063325565,83624.35031662782,31.035237582726438
